subject_id,record_stem,session_id,activity,window_start,window_end,window_mid,rgb_true_hazard,gate_open,gate_open_raw,smoothed_log_likelihood,smoothed_anomaly_score,image_full_path,has_rgb_frame
s01,01_2,session02,playing video game,0.0,5.0,2.5,1,1,1,-8.292302108669126,8.292302108669126,/storage/ice1/shared/d-pace_community/makerspace-datasets/VIDEO/DARai/RGB_compressed/Playing video game/camera_1_fps_15/01_2_02950.jpg,1
s01,01_2,session02,watching tv,0.0,5.0,2.5,1,1,1,-9.091729814088033,9.091729814088033,/storage/ice1/shared/d-pace_community/makerspace-datasets/VIDEO/DARai/RGB_compressed/Watching TV/camera_1_fps_15/01_2_01220.jpg,1
s01,01_2,session02,watching tv,0.0,5.0,2.5,1,1,1,-10.238520003456843,10.238520003456843,/storage/ice1/shared/d-pace_community/makerspace-datasets/VIDEO/DARai/RGB_compressed/Watching TV/camera_1_fps_15/01_2_01220.jpg,1
s01,01_2,session02,playing video game,0.0,5.0,2.5,1,1,1,-10.275923222006591,10.275923222006591,/storage/ice1/shared/d-pace_community/makerspace-datasets/VIDEO/DARai/RGB_compressed/Playing video game/camera_1_fps_15/01_2_02950.jpg,1
s01,01_2,session02,watching tv,2.5,7.5,5.0,1,1,1,-10.918903597902775,10.918903597902775,/storage/ice1/shared/d-pace_community/makerspace-datasets/VIDEO/DARai/RGB_compressed/Watching TV/camera_1_fps_15/01_2_01220.jpg,1
s01,01_2,session02,playing video game,2.5,7.5,5.0,1,1,1,-11.1677953102447,11.1677953102447,/storage/ice1/shared/d-pace_community/makerspace-datasets/VIDEO/DARai/RGB_compressed/Playing video game/camera_1_fps_15/01_2_02950.jpg,1
s01,01_2,session02,watching tv,2.5,7.5,5.0,1,1,1,-12.414338327486172,12.414338327486172,/storage/ice1/shared/d-pace_community/makerspace-datasets/VIDEO/DARai/RGB_compressed/Watching TV/camera_1_fps_15/01_2_01220.jpg,1
s01,01_2,session02,playing video game,2.5,7.5,5.0,1,1,1,-12.83754404475758,12.83754404475758,/storage/ice1/shared/d-pace_community/makerspace-datasets/VIDEO/DARai/RGB_compressed/Playing video game/camera_1_fps_15/01_2_02950.jpg,1
s01,01_2,session02,watching tv,5.0,10.0,7.5,1,1,1,-11.755739525011597,11.755739525011597,/storage/ice1/shared/d-pace_community/makerspace-datasets/VIDEO/DARai/RGB_compressed/Watching TV/camera_1_fps_15/01_2_01220.jpg,1
s01,01_2,session02,playing video game,5.0,10.0,7.5,1,1,1,-10.69316988831559,10.69316988831559,/storage/ice1/shared/d-pace_community/makerspace-datasets/VIDEO/DARai/RGB_compressed/Playing video game/camera_1_fps_15/01_2_02950.jpg,1
s01,01_2,session02,watching tv,5.0,10.0,7.5,1,1,1,-9.970980570428413,9.970980570428413,/storage/ice1/shared/d-pace_community/makerspace-datasets/VIDEO/DARai/RGB_compressed/Watching TV/camera_1_fps_15/01_2_01220.jpg,1
s01,01_2,session02,playing video game,5.0,10.0,7.5,1,1,1,-9.475242376027571,9.475242376027571,/storage/ice1/shared/d-pace_community/makerspace-datasets/VIDEO/DARai/RGB_compressed/Playing video game/camera_1_fps_15/01_2_02950.jpg,1
s01,01_2,session02,playing video game,7.5,12.5,10.0,1,1,1,-9.310693277864708,9.310693277864708,/storage/ice1/shared/d-pace_community/makerspace-datasets/VIDEO/DARai/RGB_compressed/Playing video game/camera_1_fps_15/01_2_02950.jpg,1
s01,01_2,session02,watching tv,7.5,12.5,10.0,1,1,1,-8.286193439203418,8.286193439203418,/storage/ice1/shared/d-pace_community/makerspace-datasets/VIDEO/DARai/RGB_compressed/Watching TV/camera_1_fps_15/01_2_01220.jpg,1
